shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Nike Pegasus 40,11 895.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-005,Road Running Shoes,,,,13,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,11 895.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-004,Road Running Shoes,,,,13,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,11 895.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-600,Road Running Shoes,,,,14,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,11 895.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-102,Road Running Shoes,,,,13,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,11 895.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-002,Road Running Shoes,,,,17,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,11 895.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-001,Road Running Shoes,,,,17,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,11 297.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-101,Road Running Shoes,,,,17,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Air Jordan 1 Mid SE,12 295.00,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-CF3K5m/DZ4129-102,Men,25,4.9,DZ4129-102,Shoes,,,,12,1,Nike,,,,,
Jordan Post,2 087.00,https://www.nike.com/in/t/jordan-post-slides-l46X9x/DX5575-001,Men,96,4.4,DX5575-100,Slides,,100.0,0.0,0,4,Nike,White/White,Safety Orange/Safety Orange,Black/Black,University Red/University Red,
Jordan Post,2 195.00,https://www.nike.com/in/t/jordan-post-slides-l46X9x/DX5575-001,Men,96,4.4,DX5575-800,Slides,,100.0,0.0,0,4,Nike,White/White,Safety Orange/Safety Orange,Black/Black,University Red/University Red,
Jordan Post,2 195.00,https://www.nike.com/in/t/jordan-post-slides-l46X9x/DX5575-001,Men,96,4.4,DX5575-001,Slides,,100.0,0.0,0,4,Nike,White/White,Safety Orange/Safety Orange,Black/Black,University Red/University Red,
Jordan Post,2 195.00,https://www.nike.com/in/t/jordan-post-slides-l46X9x/DX5575-001,Men,96,4.4,DX5575-600,Slides,,100.0,0.0,0,4,Nike,White/White,Safety Orange/Safety Orange,Black/Black,University Red/University Red,
Air Jordan 1 Mid SE,12 295.00,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-cHNJ3B/FB9911-008,Men,16,4.8,FB9911-008,shoes,,75.0,50.0,12,1,Nike,,,,,
Air Jordan 1 Low G NRG,14 995.00,https://www.nike.com/in/t/air-jordan-1-low-g-nrg-golf-shoes-2HrMGp/FD6848-001,Men,2,5.0,FD6848-001,Golf Shoes,,,,15,1,Nike,,,,,
Nike Tanjun EasyOn,5 695.00,https://www.nike.com/in/t/tanjun-easyon-shoes-GqNnp3/DV7775-300,Men,13,4.7,DV7775-101,shoes,,,,13,3,Nike,White/White/Volt/White,Oil Green/White/Light Silver,Black/Volt/Black/White,,
Nike Tanjun EasyOn,5 695.00,https://www.nike.com/in/t/tanjun-easyon-shoes-GqNnp3/DV7775-300,Men,13,4.7,DV7775-300,shoes,,,,13,3,Nike,White/White/Volt/White,Oil Green/White/Light Silver,Black/Volt/Black/White,,
Nike Tanjun EasyOn,5 695.00,https://www.nike.com/in/t/tanjun-easyon-shoes-GqNnp3/DV7775-300,Men,13,4.7,DV7775-001,shoes,,,,13,3,Nike,White/White/Volt/White,Oil Green/White/Light Silver,Black/Volt/Black/White,,
Nike Free RN NN,8 695.00,https://www.nike.com/in/t/free-rn-nn-road-running-shoes-D64TzS/FB1276-002,Men,34,4.3,FB1276-001,Road Running Shoes,,100.0,50.0,14,4,Nike,Black/Anthracite/Black,Geode Teal/Purple Ink/Burgundy Crush/Sea Glass,Black/Anthracite/White,White/Sea Glass/Blue Joy/University Red,
Nike Free RN NN,8 695.00,https://www.nike.com/in/t/free-rn-nn-road-running-shoes-D64TzS/FB1276-002,Men,34,4.3,FB1276-300,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Anthracite/Black,Geode Teal/Purple Ink/Burgundy Crush/Sea Glass,Black/Anthracite/White,White/Sea Glass/Blue Joy/University Red,
Nike Free RN NN,8 695.00,https://www.nike.com/in/t/free-rn-nn-road-running-shoes-D64TzS/FB1276-002,Men,34,4.3,FB1276-002,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Anthracite/Black,Geode Teal/Purple Ink/Burgundy Crush/Sea Glass,Black/Anthracite/White,White/Sea Glass/Blue Joy/University Red,
Nike Free RN NN,8 695.00,https://www.nike.com/in/t/free-rn-nn-road-running-shoes-D64TzS/FB1276-002,Men,34,4.3,FB1276-100,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Anthracite/Black,Geode Teal/Purple Ink/Burgundy Crush/Sea Glass,Black/Anthracite/White,White/Sea Glass/Blue Joy/University Red,
Nike Victori One,1 987.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-701,Slides,,75.0,38.0,8,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Nike Victori One,2 095.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-014,Slides,,75.0,38.0,8,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Nike Victori One,2 095.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-401,Slides,,75.0,38.0,8,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Nike Victori One,2 095.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-003,Slides,,75.0,38.0,10,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Nike Victori One,2 095.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-600,Slides,,75.0,38.0,8,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Nike Victori One,2 095.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-002,Slides,,75.0,38.0,12,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Nike Victori One,2 095.00,https://www.nike.com/in/t/victori-one-slides-QTTJHP/CN9675-002,Men,324,4.7,CN9675-005,Slides,,75.0,38.0,10,7,Nike,Wheatgrass/Baroque Brown,Black/Light Silver,Midnight Navy/Midnight Navy/White,Black/Black/Black,University Red/University Red/Black
Jordan Super Play,3 987.00,https://www.nike.com/in/t/jordan-super-play-slides-Cfj5Q4/DM1683-200,Men,7,5.0,DM1683-101,Slides,,100.0,67.0,0,6,Nike,Coconut Milk/Elemental Gold/Coconut Milk,Black/Chile Red,Deep Green/Safety Orange,Dark Grey/Gold Amber/Black,Black/University Red
Jordan Super Play,4 195.00,https://www.nike.com/in/t/jordan-super-play-slides-Cfj5Q4/DM1683-200,Men,7,5.0,DM1683-006,Slides,,100.0,67.0,0,6,Nike,Coconut Milk/Elemental Gold/Coconut Milk,Black/Chile Red,Deep Green/Safety Orange,Dark Grey/Gold Amber/Black,Black/University Red
Jordan Super Play,4 195.00,https://www.nike.com/in/t/jordan-super-play-slides-Cfj5Q4/DM1683-200,Men,7,5.0,DM1683-200,Slides,,100.0,67.0,0,6,Nike,Coconut Milk/Elemental Gold/Coconut Milk,Black/Chile Red,Deep Green/Safety Orange,Dark Grey/Gold Amber/Black,Black/University Red
Jordan Super Play,3 987.00,https://www.nike.com/in/t/jordan-super-play-slides-Cfj5Q4/DM1683-200,Men,7,5.0,DM1683-003,Slides,,100.0,67.0,0,6,Nike,Coconut Milk/Elemental Gold/Coconut Milk,Black/Chile Red,Deep Green/Safety Orange,Dark Grey/Gold Amber/Black,Black/University Red
Jordan Super Play,4 195.00,https://www.nike.com/in/t/jordan-super-play-slides-Cfj5Q4/DM1683-200,Men,7,5.0,DM1683-001,Slides,,100.0,67.0,0,6,Nike,Coconut Milk/Elemental Gold/Coconut Milk,Black/Chile Red,Deep Green/Safety Orange,Dark Grey/Gold Amber/Black,Black/University Red
Jordan Super Play,4 195.00,https://www.nike.com/in/t/jordan-super-play-slides-Cfj5Q4/DM1683-200,Men,7,5.0,DM1683-030,Slides,,100.0,67.0,0,6,Nike,Coconut Milk/Elemental Gold/Coconut Milk,Black/Chile Red,Deep Green/Safety Orange,Dark Grey/Gold Amber/Black,Black/University Red
Air Jordan 1 High G NRG,18 395.00,https://www.nike.com/in/t/air-jordan-1-high-g-nrg-golf-shoes-t1kNjd/FD6815-001,Men,6,4.3,FD6815-001,Golf Shoes,,100.0,50.0,15,1,Nike,,,,,
Nike Vaporfly 3,20 695.00,https://www.nike.com/in/t/vaporfly-3-road-racing-shoes-xsDgvM/DV4129-601,Men,212,4.6,DV4129-600,Road Racing Shoes,,100.0,50.0,13,5,Nike,Hyper Pink/Laser Orange/Black,Black/Black/Oatmeal/Metallic Gold Grain,White/Particle Grey/Metallic Silver/Dark Smoke Grey,Sail/Total Orange/Volt/Cobalt Bliss,University Red/Sea Glass/Melon Tint/Blue Joy
Nike Vaporfly 3,20 695.00,https://www.nike.com/in/t/vaporfly-3-road-racing-shoes-xsDgvM/DV4129-601,Men,212,4.6,DV4129-001,Road Racing Shoes,,100.0,50.0,13,5,Nike,Hyper Pink/Laser Orange/Black,Black/Black/Oatmeal/Metallic Gold Grain,White/Particle Grey/Metallic Silver/Dark Smoke Grey,Sail/Total Orange/Volt/Cobalt Bliss,University Red/Sea Glass/Melon Tint/Blue Joy
