product_code,review_count,size,comfort,durability,star
BL8043-535,0,,,,0
BL0659-012,39,,,,4
BL0659-089,29,,,,4
BL0659-010,29,,,,4
BL0659-271,35,,,,4
BL5953-012,32,,,,5
BL5953-036,22,,,,5
BL5953-005,22,,,,5
BL5953-471,22,,,,5
BL7444-020,0,,,,0
BL7444-086,0,,,,0
BL4497-247,0,,,,0
BL4497-553,0,,,,0
BL6940-005,0,,,,0
BL6940-553,0,,,,0
BL7615-088,15,,,,5
BL7615-553,15,,,,5
BL8089-010,44,,,,4
BL5786-656,10,,,,5
BL0166-100,0,,,,0
BL0829-010,0,,,,0
BL0829-616,0,,,,0
BL0156-010,0,,,,0
BL0156-053,0,,,,0
BL0156-193,1,,,,5
BL7516-553,0,,,,0
BL0155-012,38,,,,4
BL0155-053,38,,,,4
BL0155-616,38,,,,4
BL8538-010,0,,,,0
BL7573-089,22,,,,5
BL7573-010,22,,,,5
BL7573-302,22,,,,5
BL5372-006,0,,,,0
BL5372-275,0,,,,0
BL0834-227,0,,,,0
BL0834-033,0,,,,0
YL8651-010,0,,,,0
YL8651-033,0,,,,0
BL1661-010,0,,,,0
BL0933-472,0,,,,0
BL5371-055,0,,,,0
BL5371-053,0,,,,0
BL8916-466,0,,,,0
BL4980-099,0,,,,0
YL5934-005,0,,,,0
YL5934-010,0,,,,0
BL5106-279,0,,,,0
BM5578-005,32,,,,5
BM5578-231,31,,,,5
BM0354-010,0,,,,0
BM0159-010,30,,,,4
BM0159-468,36,,,,4
BM8310-813,17,,,,5
BM5372-006,59,,,,4
BM5372-241,91,,,,4
BM5372-053,30,,,,4
BM5372-255,47,,,,4
BM3926-010,0,,,,0
BM8525-010,30,,,,4
BM7536-255,0,,,,0
BM7536-213,0,,,,0
BM5371-014,60,,,,4
BM5371-020,60,,,,4
BM5371-231,58,,,,4
BM5371-384,30,,,,4
BM5371-468,30,,,,4
BM0166-010,36,,,,4
BM0166-441,38,,,,4
BM0486-010,0,,,,0
BM0486-302,0,,,,0
BM6940-089,0,,,,0
BM6940-247,0,,,,0
BM9083-373,0,,,,0
BM0659-013,1,,,,5
BM0659-317,0,,,,0
BM0659-010,0,,,,0
BM5953-012,31,,,,5
BM5953-247,21,,,,5
BM7874-012,36,,,,4
BM0156-010,42,,,,4
BM0156-089,34,,,,4
BM0156-367,34,,,,4
BM0156-478,34,,,,4
BM8210-005,4,,,,5
BM8210-231,4,,,,5
BM1905-399,0,,,,0
BM1905-468,0,,,,0
BM0111-231,37,,,,4
BM0111-339,46,,,,4
BM7444-227,0,,,,0
BM7444-383,0,,,,0
BM3530-010,12,,,,5
BM3530-089,12,,,,5
BM3530-858,19,,,,5
BM0829-415,0,,,,0
BM0829-053,0,,,,0
BM0829-439,0,,,,0
BM8043-010,26,,,,5
BM8043-278,26,,,,5
BM8043-302,24,,,,5
BM0155-053,59,,,,4
BM0155-005,69,,,,4
BM0155-472,59,,,,4
YM8651-010,0,,,,0
BM0133-010,10,,,,5
BM6923-005,0,,,,0
BM0833-053,44,,,,4
BM0833-231,35,,,,4
BM6578-010,5,,,,5
BM6578-417,5,,,,5
BI0834-255,0,,,,0
BI5372-053,0,,,,0
BM7615-010,0,,,,0
BM7615-383,0,,,,0
BM4980-099,32,,,,4
BM4980-010,24,,,,4
BM0834-255,0,,,,0
BM8538-383,0,,,,0
BM8538-033,0,,,,0
BM7516-088,0,,,,0
BM1766-464,0,,,,0
BM1766-397,0,,,,0
BM8287-339,0,,,,0
BM2806-013,0,,,,0
BM2806-439,0,,,,0
CW2288-111,1316,54.0,80,,4.8
CW2288-001,1316,54.0,80,,4.8
DH2987-110,105,67.0,84,,4.7
DH2987-101,105,67.0,84,,4.7
DH2987-004,105,67.0,84,,4.7
DH2987-100,105,67.0,84,,4.7
DH2987-001,105,67.0,84,,4.7
DH2987-106,105,67.0,84,,4.7
DH2987-002,105,67.0,84,,4.7
FN2452-170,0,,,,0
FJ7098-400,8,,,,4.8
FJ7098-700,8,,,,4.8
FJ7098-701,8,,,,4.8
FJ7098-301,8,,,,4.8
FJ7098-002,8,,,,4.8
FB9657-002,2,,,,4
DV1678-003,176,34.0,84,,4.6
DV1678-100,176,34.0,84,,4.6
DV1678-002,176,34.0,84,,4.6
DV1678-001,176,34.0,84,,4.6
DV1678-500,176,34.0,84,,4.6
DV1678-300,176,34.0,84,,4.6
DV1678-004,176,34.0,84,,4.6
DA6364-001,96,50.0,63,,4.4
DA6364-115,96,50.0,63,,4.4
DA6364-101,96,50.0,63,,4.4
DA6364-107,96,50.0,63,,4.4
FV0384-001,21,,,,4.6
FB8875-002,8,,,,4.6
FB8875-001,8,,,,4.6
FB8875-700,8,,,,4.6
FQ8075-133,0,,,,0
FB8896-300,2,50.0,75,,5
FB9658-001,5,,,,4.8
DD9293-011,50,50.0,100,,4.5
