shoe_name,category,color_count,original_price,product_code
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_09
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_10
Flyer Lite unisex Running Shoes,unisex,4,"2,749",378774_02
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_04
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_06
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_07
Delphin unisex Sneakers,unisex,2,"4,199",390685_08
Delphin unisex Sneakers,unisex,2,"4,199",390685_09
Delphin unisex Sneakers,unisex,2,"4,199",390685_08
Delphin unisex Sneakers,unisex,2,"4,199",390685_09
Slipstream Xtreme unisex Sneakers,unisex,2,"7,199",392434_01
Slipstream Xtreme unisex Sneakers,unisex,2,"7,199",392434_02
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_06
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_08
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_09
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_10
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
