shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
SKECH-LITE PRO-FLOURISHING ST,"5,799.00",https://www.skechers.in/skech-lite-pro-flourishing-st/149989-BKMT.html,WOMEN,4,4.8,149989-WMLT,,,,60.0,4,2,skechers,BLACK/MULTI,WHITE/MULTI,,,
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-MVE,,,,60.0,2,1,skechers,,,,,
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-NVBL,,,,60.0,0,2,skechers,MMAUVE,NAVY/BLUE,,,
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-SAGE,,,,60.0,1,3,skechers,MMAUVE,NAVY/BLUE,SAGE,,
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-CHAR,,,,60.0,1,4,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-RAS,,,,60.0,0,5,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-PLUM,,,,60.0,1,6,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-SLT,,,,60.0,2,7,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"5,999.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-SLT.html,WOMEN,283,4.7,104164-TPE,,,,60.0,0,8,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-MVE,,,,60.0,1,1,skechers,,,,,
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-NVBL,,,,60.0,0,2,skechers,MMAUVE,NAVY/BLUE,,,
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-SAGE,,,,60.0,2,3,skechers,MMAUVE,NAVY/BLUE,SAGE,,
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-CHAR,,,,60.0,1,4,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-RAS,,,,60.0,0,5,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-PLUM,,,,60.0,2,6,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-SLT,,,,60.0,1,7,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
ARCH FIT REFINE - DON'T GO,"3,599.00",https://www.skechers.in/arch-fit-refine---don-t-go/104164-PLUM.html,WOMEN,283,4.7,104164-TPE,,,,60.0,0,8,skechers,MMAUVE,NAVY/BLUE,SAGE,CCHARCOAL,RASPBERRY
D'LITES-VARSITY SPIRIT,"4,799.00",https://www.skechers.in/d-lites-varsity-spirit/149781-NTBG.html,WOMEN,4,5.0,149781-NTBG,,,,60.0,5,1,skechers,,,,,
SKECH-LITE PRO-FLOURISHING ST,"5,799.00",https://www.skechers.in/skech-lite-pro-flourishing-st/149989-WMLT.html,WOMEN,4,4.8,149989-BKMT,,,,60.0,4,1,skechers,,,,,
SKECH-LITE PRO-FLOURISHING ST,"5,799.00",https://www.skechers.in/skech-lite-pro-flourishing-st/149989-WMLT.html,WOMEN,4,4.8,149989-WMLT,,,,60.0,4,2,skechers,BLACK/MULTI,WHITE/MULTI,,,
GLIDE-STEP SWIFT,"5,599.00",https://www.skechers.in/glide-step-swift/149967-NORG.html,WOMEN,3,5.0,149967-BKMT,,,,60.0,1,1,skechers,,,,,
GLIDE-STEP SWIFT,"5,599.00",https://www.skechers.in/glide-step-swift/149967-NORG.html,WOMEN,3,5.0,149967-NORG,,,,60.0,4,2,skechers,BLACK/MULTI,NEON/ORANGE,,,
A LINEAR - JOZLYN,"6,299.00",https://www.skechers.in/a-linear---jozlyn/133257-WHT.html,WOMEN,14,4.4,133257-WHT,,,,60.0,2,1,skechers,,,,,
A LINEAR - JOZLYN,"6,299.00",https://www.skechers.in/a-linear---jozlyn/133257-WHT.html,WOMEN,14,4.4,133257-YLW,,,,60.0,2,2,skechers,WWWHITE,YELLOW/WHITE,,,
UNO 2 - PASTEL PLAYERS,"7,499.00",https://www.skechers.in/uno-2---pastel-players/155652-YEL.html,WOMEN,2,5.0,155652-LTPK,,,,60.0,3,1,skechers,,,,,
UNO 2 - PASTEL PLAYERS,"7,499.00",https://www.skechers.in/uno-2---pastel-players/155652-YEL.html,WOMEN,2,5.0,155652-LTBL,,,,60.0,0,2,skechers,LLLIGHT PINK,LLIGHT BLUE,,,
UNO 2 - PASTEL PLAYERS,"7,499.00",https://www.skechers.in/uno-2---pastel-players/155652-YEL.html,WOMEN,2,5.0,155652-YEL,,,,60.0,5,3,skechers,LLLIGHT PINK,LLIGHT BLUE,YELLOW,,
GLIDE-STEP SWIFT,"4,799.00",https://www.skechers.in/glide-step-swift/149967-BKMT.html,WOMEN,3,5.0,149967-BKMT,,,,60.0,2,1,skechers,,,,,
GLIDE-STEP SWIFT,"4,799.00",https://www.skechers.in/glide-step-swift/149967-BKMT.html,WOMEN,3,5.0,149967-NORG,,,,60.0,1,2,skechers,BLACK/MULTI,NEON/ORANGE,,,
SKECH-AIR EXTREME 2.0-CLASSIC,"4,899.00",https://www.skechers.in/skech-air-extreme-2.0-classic/149645-BKLV.html,WOMEN,56,4.4,149645-GYMN,,,,60.0,0,1,skechers,,,,,
SKECH-AIR EXTREME 2.0-CLASSIC,"4,899.00",https://www.skechers.in/skech-air-extreme-2.0-classic/149645-BKLV.html,WOMEN,56,4.4,149645-WBPK,,,,60.0,0,2,skechers,GREY/MINT,WHITE BLACK PINK,,,
SKECH-AIR EXTREME 2.0-CLASSIC,"4,899.00",https://www.skechers.in/skech-air-extreme-2.0-classic/149645-BKLV.html,WOMEN,56,4.4,149645-BKLV,,,,60.0,5,3,skechers,GREY/MINT,WHITE BLACK PINK,BLACK/LAVENDER,,
SKECH-AIR EXTREME 2.0-CLASSIC,"4,899.00",https://www.skechers.in/skech-air-extreme-2.0-classic/149645-BKLV.html,WOMEN,56,4.4,149645-NVMT,,,,60.0,5,4,skechers,GREY/MINT,WHITE BLACK PINK,BLACK/LAVENDER,NAVY/MULTI,
A LINEAR - JOZLYN,"6,299.00",https://www.skechers.in/a-linear---jozlyn/133257-YLW.html,WOMEN,14,4.4,133257-WHT,,,,60.0,2,1,skechers,,,,,
A LINEAR - JOZLYN,"6,299.00",https://www.skechers.in/a-linear---jozlyn/133257-YLW.html,WOMEN,14,4.4,133257-YLW,,,,60.0,4,2,skechers,WWWHITE,YELLOW/WHITE,,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-OFWT.html,WOMEN,18,5.0,149756-BKMT,,,,60.0,0,1,skechers,,,,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-OFWT.html,WOMEN,18,5.0,149756-LVMT,,,,60.0,3,2,skechers,BLACK/MULTI,LAVENDER/MULTI,,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-OFWT.html,WOMEN,18,5.0,149756-WMLT,,,,60.0,0,3,skechers,BLACK/MULTI,LAVENDER/MULTI,WHITE/MULTI,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-OFWT.html,WOMEN,18,5.0,149756-OFWT,,,,60.0,3,4,skechers,BLACK/MULTI,LAVENDER/MULTI,WHITE/MULTI,OFF WHITE,
