shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Divecat V2 Lite Unisex Slides,"₹1,149","₹2,299",https://in.puma.com/in/en/pd/divecat-v2-lite-unisex-slides/374823?swatch=02&referrer-category=mens-shoes,Unisex,,,374823_04,Slides,,,,6,4,Puma,Puma Black-Puma White,Peacoat-Puma White,Puma White-Puma Black,Fast Yellow-PUMA Black,
Divecat V2 Lite Unisex Slides,"₹1,259","₹2,299",https://in.puma.com/in/en/pd/divecat-v2-lite-unisex-slides/374823?swatch=02&referrer-category=mens-shoes,Unisex,,,374823_19,Slides,,,,6,4,Puma,Puma Black-Puma White,Peacoat-Puma White,Puma White-Puma Black,Fast Yellow-PUMA Black,
Divecat V2 Lite Cat Unisex Slides,"₹1,099","₹1,999",https://in.puma.com/in/en/pd/divecat-v2-lite-cat-unisex-slides/386713?swatch=03&referrer-category=mens-shoes,Unisex,,,386713_02,Slides,,,,6,2,Puma,Puma Black-Puma White,Peacoat-Puma White,,,
Divecat V2 Lite Cat Unisex Slides,"₹1,099","₹1,999",https://in.puma.com/in/en/pd/divecat-v2-lite-cat-unisex-slides/386713?swatch=03&referrer-category=mens-shoes,Unisex,,,386713_03,Slides,,,,6,2,Puma,Puma Black-Puma White,Peacoat-Puma White,,,
Divecat V2 Lite Cat Unisex Slides,"₹1,099","₹1,999",https://in.puma.com/in/en/pd/divecat-v2-lite-cat-unisex-slides/386713?swatch=02&referrer-category=mens-shoes,Unisex,,,386713_02,Slides,,,,6,2,Puma,Puma Black-Puma White,Peacoat-Puma White,,,
Divecat V2 Lite Cat Unisex Slides,"₹1,099","₹1,999",https://in.puma.com/in/en/pd/divecat-v2-lite-cat-unisex-slides/386713?swatch=02&referrer-category=mens-shoes,Unisex,,,386713_03,Slides,,,,6,2,Puma,Puma Black-Puma White,Peacoat-Puma White,,,
PUMA Jitter Men's Sneakers,"₹2,499","₹4,999",https://in.puma.com/in/en/pd/puma-jitter-mens-sneakers/391853?swatch=02&referrer-category=mens-shoes,Men,,,391853_02,Sneakers,,,,4,1,Puma,,,,,
Graviton Pro Unisex Sneakers,"₹3,499","₹6,999",https://in.puma.com/in/en/pd/graviton-pro-unisex-sneakers/382721?swatch=01&referrer-category=mens-shoes,Unisex,,,382721_01,Sneakers,,,,4,2,Puma,Puma Black-Puma Black-Dark Shadow,Puma White-Puma White-Gray Violet,,,
Graviton Pro Unisex Sneakers,"₹4,199","₹6,999",https://in.puma.com/in/en/pd/graviton-pro-unisex-sneakers/382721?swatch=01&referrer-category=mens-shoes,Unisex,,,382721_02,Sneakers,,,,1,2,Puma,Puma Black-Puma Black-Dark Shadow,Puma White-Puma White-Gray Violet,,,
PUMA x First Mile Electrify NITRO 3 Men's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/puma-x-first-mile-electrify-nitro-3-mens-running-shoes/378457?swatch=01&referrer-category=mens-shoes,Men,,,378457_01,Running Shoes,,,,7,1,Puma,,,,,
Liberate Nitro 2 Men's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-mens-running-shoes/377315?swatch=01&referrer-category=mens-shoes,Men,,,377315_01,Running Shoes,,,,7,2,Puma,PUMA Black-PUMA Silver,PUMA White-Ultra Blue-Fire Orchid,,,
Liberate Nitro 2 Men's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-mens-running-shoes/377315?swatch=01&referrer-category=mens-shoes,Men,,,377315_06,Running Shoes,,,,3,2,Puma,PUMA Black-PUMA Silver,PUMA White-Ultra Blue-Fire Orchid,,,
