shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
ForeverRun NITRO Women's Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=02&referrer-category=womens-shoes,Women,,,377758_02,Running Shoes,,,,5,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
ForeverRun NITRO Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=02&referrer-category=womens-shoes,Women,,,377758_08,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
ForeverRun NITRO Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=02&referrer-category=womens-shoes,Women,,,377758_09,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
Camo Women's Sneakers,"₹2,019","₹4,499",https://in.puma.com/in/en/pd/camo-womens-sneakers/381168?swatch=04&referrer-category=womens-shoes,Women,,,381168_04,Sneakers,,,,2,3,Puma,Lotus-Dark Shadow,Dark Shadow-Peach Parfait,Placid Blue-Dark Denim,,
Camo Women's Sneakers,"₹2,159","₹4,499",https://in.puma.com/in/en/pd/camo-womens-sneakers/381168?swatch=04&referrer-category=womens-shoes,Women,,,381168_05,Sneakers,,,,3,3,Puma,Lotus-Dark Shadow,Dark Shadow-Peach Parfait,Placid Blue-Dark Denim,,
Camo Women's Sneakers,"₹2,019","₹4,499",https://in.puma.com/in/en/pd/camo-womens-sneakers/381168?swatch=04&referrer-category=womens-shoes,Women,,,381168_06,Sneakers,,,,3,3,Puma,Lotus-Dark Shadow,Dark Shadow-Peach Parfait,Placid Blue-Dark Denim,,
Fuse 2.0 Women's Training Shoes,"₹4,399","₹7,999",https://in.puma.com/in/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=12&referrer-category=womens-shoes,Women,,,376169_02,Training Shoes,,,,2,6,Puma,Puma White-Puma Black-Deep Orchid-Neon Citrus,Puma White-Dusty Aqua,Rose Dust-Warm White-Hibiscus Flower,Purple Charcoal-PUMA Black-Spring Lavender,PUMA White-Fire Orchid-PUMA Black
Fuse 2.0 Women's Training Shoes,"₹4,799","₹7,999",https://in.puma.com/in/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=12&referrer-category=womens-shoes,Women,,,376169_05,Training Shoes,,,,1,6,Puma,Puma White-Puma Black-Deep Orchid-Neon Citrus,Puma White-Dusty Aqua,Rose Dust-Warm White-Hibiscus Flower,Purple Charcoal-PUMA Black-Spring Lavender,PUMA White-Fire Orchid-PUMA Black
Fuse 2.0 Women's Training Shoes,"₹5,219","₹8,999",https://in.puma.com/in/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=12&referrer-category=womens-shoes,Women,,,376169_06,Training Shoes,,,,2,6,Puma,Puma White-Puma Black-Deep Orchid-Neon Citrus,Puma White-Dusty Aqua,Rose Dust-Warm White-Hibiscus Flower,Purple Charcoal-PUMA Black-Spring Lavender,PUMA White-Fire Orchid-PUMA Black
Fuse 2.0 Women's Training Shoes,"₹4,949","₹8,999",https://in.puma.com/in/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=12&referrer-category=womens-shoes,Women,,,376169_09,Training Shoes,,,,1,6,Puma,Puma White-Puma Black-Deep Orchid-Neon Citrus,Puma White-Dusty Aqua,Rose Dust-Warm White-Hibiscus Flower,Purple Charcoal-PUMA Black-Spring Lavender,PUMA White-Fire Orchid-PUMA Black
Fuse 2.0 Women's Training Shoes,"₹4,499","₹8,999",https://in.puma.com/in/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=12&referrer-category=womens-shoes,Women,,,376169_10,Training Shoes,,,,6,6,Puma,Puma White-Puma Black-Deep Orchid-Neon Citrus,Puma White-Dusty Aqua,Rose Dust-Warm White-Hibiscus Flower,Purple Charcoal-PUMA Black-Spring Lavender,PUMA White-Fire Orchid-PUMA Black
Fuse 2.0 Women's Training Shoes,"₹4,949","₹8,999",https://in.puma.com/in/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=12&referrer-category=womens-shoes,Women,,,376169_12,Training Shoes,,,,5,6,Puma,Puma White-Puma Black-Deep Orchid-Neon Citrus,Puma White-Dusty Aqua,Rose Dust-Warm White-Hibiscus Flower,Purple Charcoal-PUMA Black-Spring Lavender,PUMA White-Fire Orchid-PUMA Black
PWR XX Nitro Luxe Women's Training Shoes,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/pwr-xx-nitro-luxe-womens-training-shoes/377892?swatch=09&referrer-category=womens-shoes,Women,,,377892_02,Training Shoes,,,,3,3,Puma,Warm White-PUMA Gold,Warm White-Ash Gray-Icy Blue,Dark Clove-PUMA Black-Rose Gold,,
PWR XX Nitro Luxe Women's Training Shoes,"₹7,199","₹8,999",https://in.puma.com/in/en/pd/pwr-xx-nitro-luxe-womens-training-shoes/377892?swatch=09&referrer-category=womens-shoes,Women,,,377892_09,Training Shoes,,,,6,3,Puma,Warm White-PUMA Gold,Warm White-Ash Gray-Icy Blue,Dark Clove-PUMA Black-Rose Gold,,
PWR XX Nitro Luxe Women's Training Shoes,"₹7,199","₹8,999",https://in.puma.com/in/en/pd/pwr-xx-nitro-luxe-womens-training-shoes/377892?swatch=09&referrer-category=womens-shoes,Women,,,377892_10,Training Shoes,,,,6,3,Puma,Warm White-PUMA Gold,Warm White-Ash Gray-Icy Blue,Dark Clove-PUMA Black-Rose Gold,,
Forever XT Metallic Women's Training Shoes,"₹3,759","₹7,999",https://in.puma.com/in/en/pd/forever-xt-metallic-womens-training-shoes/376977?swatch=01&referrer-category=womens-shoes,Women,,,376977_01,Training Shoes,,,,4,1,Puma,,,,,
PWR XX Nitro Luxe Women's Training Shoes,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/pwr-xx-nitro-luxe-womens-training-shoes/377892?swatch=10&referrer-category=womens-shoes,Women,,,377892_02,Training Shoes,,,,3,3,Puma,Warm White-PUMA Gold,Warm White-Ash Gray-Icy Blue,Dark Clove-PUMA Black-Rose Gold,,
PWR XX Nitro Luxe Women's Training Shoes,"₹7,199","₹8,999",https://in.puma.com/in/en/pd/pwr-xx-nitro-luxe-womens-training-shoes/377892?swatch=10&referrer-category=womens-shoes,Women,,,377892_09,Training Shoes,,,,6,3,Puma,Warm White-PUMA Gold,Warm White-Ash Gray-Icy Blue,Dark Clove-PUMA Black-Rose Gold,,
PWR XX Nitro Luxe Women's Training Shoes,"₹7,199","₹8,999",https://in.puma.com/in/en/pd/pwr-xx-nitro-luxe-womens-training-shoes/377892?swatch=10&referrer-category=womens-shoes,Women,,,377892_10,Training Shoes,,,,6,3,Puma,Warm White-PUMA Gold,Warm White-Ash Gray-Icy Blue,Dark Clove-PUMA Black-Rose Gold,,
Fast-Trac NITRO 2 Women's Running Shoes,"₹10,999",,https://in.puma.com/in/en/pd/fast-trac-nitro-2-womens-running-shoes/307685?swatch=04&referrer-category=womens-shoes,Women,,,307685_04,Running Shoes,,,,6,1,Puma,,,,,
Liberate Nitro 2 Women's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=04&referrer-category=womens-shoes,Women,,,377316_01,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Liberate Nitro 2 Women's Running Shoes,"₹6,599","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=04&referrer-category=womens-shoes,Women,,,377316_04,Running Shoes,,,,4,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Liberate Nitro 2 Women's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=04&referrer-category=womens-shoes,Women,,,377316_07,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Liberate Nitro 2 Women's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=04&referrer-category=womens-shoes,Women,,,377316_08,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Magnify NITRO 2 Women's Running Shoes,"₹11,999","₹14,999",https://in.puma.com/in/en/pd/magnify-nitro-2-womens-running-shoes/378906?swatch=01&referrer-category=womens-shoes,Women,,,378906_01,Running Shoes,,,,6,1,Puma,,,,,
SOFTRIDE Flair Women's Running Shoes,"₹3,599","₹5,999",https://in.puma.com/in/en/pd/softride-flair-womens-running-shoes/377904?swatch=01&referrer-category=womens-shoes,Women,,,377904_01,Running Shoes,,,,4,2,Puma,PUMA Black-PUMA Gold,Icy Blue-Fire Orchid-PUMA White,,,
SOFTRIDE Flair Women's Running Shoes,"₹3,599","₹5,999",https://in.puma.com/in/en/pd/softride-flair-womens-running-shoes/377904?swatch=01&referrer-category=womens-shoes,Women,,,377904_07,Running Shoes,,,,6,2,Puma,PUMA Black-PUMA Gold,Icy Blue-Fire Orchid-PUMA White,,,
Explore NITRO Mid GORE-TEX Women's Hiking Shoes,"₹11,249","₹14,999",https://in.puma.com/in/en/pd/explore-nitro-mid-gore-tex-womens-hiking-shoes/377861?swatch=03&referrer-category=womens-shoes,Women,,,377861_01,Hiking Shoes,,,,6,2,Puma,PUMA Black-Cool Dark Gray,Dark Jasper-PUMA Black-Fire Orchid,,,
Explore NITRO Mid GORE-TEX Women's Hiking Shoes,"₹11,999","₹14,999",https://in.puma.com/in/en/pd/explore-nitro-mid-gore-tex-womens-hiking-shoes/377861?swatch=03&referrer-category=womens-shoes,Women,,,377861_03,Hiking Shoes,,,,5,2,Puma,PUMA Black-Cool Dark Gray,Dark Jasper-PUMA Black-Fire Orchid,,,
Velocity NITRO 2 Women's Running Shoes,"₹7,199","₹11,999",https://in.puma.com/in/en/pd/velocity-nitro-2-womens-running-shoes/376262?swatch=09&referrer-category=womens-shoes,Women,,,376262_07,Running Shoes,,,,2,5,Puma,Sunset Glow-Puma Black,Puma Black-Rose Gold,PUMA Black-Fire Orchid,Frosty Pink-Speed Green,Fire Orchid-Ultra Blue
Velocity NITRO 2 Women's Running Shoes,"₹7,199","₹11,999",https://in.puma.com/in/en/pd/velocity-nitro-2-womens-running-shoes/376262?swatch=09&referrer-category=womens-shoes,Women,,,376262_09,Running Shoes,,,,4,5,Puma,Sunset Glow-Puma Black,Puma Black-Rose Gold,PUMA Black-Fire Orchid,Frosty Pink-Speed Green,Fire Orchid-Ultra Blue
