shoe_name,original_price,discount_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IG1237.html,Men ,86.0,,IG1237, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IG1242.html,Men ,86.0,,IG1242, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IG1243.html,Men ,86.0,,IG1243, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
STRUDI M,3 799.00,2 659.50,https://www.adidas.co.in/strudi-m/IQ8807.html,Men ,1.0,,IQ8807, TERREX,100.0,100.0,50.0,,1,adidas,,,,,
BREAKNET SHOES,5 999.00,,https://www.adidas.co.in/breaknet-shoes/IG6535.html,Men ,739.0,,IG6535, Sportswear,85.0,79.0,49.0,,2,adidas,Core Black / Impact Orange / Lucid Cyan,Cloud White / Collegiate Green / Semi Lucid Lime,,,
BREAKNET SHOES,5 999.00,,https://www.adidas.co.in/breaknet-shoes/IG6536.html,Men ,739.0,,IG6536, Sportswear,85.0,79.0,49.0,,2,adidas,Core Black / Impact Orange / Lucid Cyan,Cloud White / Collegiate Green / Semi Lucid Lime,,,
KANTANA SHOES,8 599.00,,https://www.adidas.co.in/kantana-shoes/IG9830.html,Women ,36.0,,IG9830, Sportswear,90.0,89.0,54.0,,2,adidas,Cloud White / Clear Pink / Lucid Pink,Off White / Wonder Beige / Aluminium,,,
KANTANA SHOES,8 599.00,,https://www.adidas.co.in/kantana-shoes/IG9831.html,Women ,36.0,,IG9831, Sportswear,90.0,89.0,54.0,,2,adidas,Cloud White / Clear Pink / Lucid Pink,Off White / Wonder Beige / Aluminium,,,
HOOPS 3.0 MID SHOES,6 999.00,,https://www.adidas.co.in/hoops-3.0-mid-shoes/IF5306.html,Women ,38.0,,IF5306, Sportswear,88.0,80.0,57.0,,2,adidas,Cloud White / Silver Dawn / Silver Violet,Cloud White / Clear Sky / Gum,,,
HOOPS 3.0 MID SHOES,6 999.00,,https://www.adidas.co.in/hoops-3.0-mid-shoes/IF5321.html,Women ,38.0,,IF5321, Sportswear,88.0,80.0,57.0,,2,adidas,Cloud White / Silver Dawn / Silver Violet,Cloud White / Clear Sky / Gum,,,
MECH DUNE SHOES,4 799.00,3 119.50,https://www.adidas.co.in/mech-dune-shoes/GB2575.html,Men ,26.0,,GB2575, Running,62.0,59.0,48.0,,3,adidas,Wild Teal S21 / Magic Beige F22 / Core Black,Blue Night / Bliss Blue F22 / Core Black,Tech Onix / Acid Yellow S21 / Core Black,,
MECH DUNE SHOES,4 799.00,3 119.50,https://www.adidas.co.in/mech-dune-shoes/GB2576.html,Men ,26.0,,GB2576, Running,62.0,59.0,48.0,,3,adidas,Wild Teal S21 / Magic Beige F22 / Core Black,Blue Night / Bliss Blue F22 / Core Black,Tech Onix / Acid Yellow S21 / Core Black,,
MECH DUNE SHOES,4 799.00,3 119.50,https://www.adidas.co.in/mech-dune-shoes/GB2577.html,Men ,26.0,,GB2577, Running,62.0,59.0,48.0,,3,adidas,Wild Teal S21 / Magic Beige F22 / Core Black,Blue Night / Bliss Blue F22 / Core Black,Tech Onix / Acid Yellow S21 / Core Black,,
DURAMO SL SHOES,6 599.00,,https://www.adidas.co.in/duramo-sl-shoes/ID9853.html,Women ,374.0,,ID9853, Running,88.0,86.0,49.0,,3,adidas,Core Black / Cloud White / Carbon,Flash Aqua F23 / Cloud White / Silver Dawn S23,Cloud White / Night Metallic / Pink Fusion F23,,
DURAMO SL SHOES,6 599.00,,https://www.adidas.co.in/duramo-sl-shoes/IF7884.html,Women ,374.0,,IF7884, Running,88.0,86.0,49.0,,3,adidas,Core Black / Cloud White / Carbon,Flash Aqua F23 / Cloud White / Silver Dawn S23,Cloud White / Night Metallic / Pink Fusion F23,,
